Body Part,Exercise
Abdominals,Hanging Leg Raise
Abdominals,Cable Crunch
Backhorizontal,Barbell Row
Backhorizontal,Cable Row
Backhorizontal,Dumbbell Row
Backhorizontal,Chest Supported Row/Humble Row
Backtraps,Deadlift
Backtraps,Shrug
Backtraps,Face Pull
Backvertical,Pull Up
Backvertical,Lat Pulldown
Backvertical,Mixed Grip Lat Pulldown
Biceps,EZ Bar Curl
Biceps,Dumbbell Hammer Curl
Biceps,Dumbbell Screw
Biceps,Incline Dumbbell Curl
Biceps,Bayesian Curl
Chest,Bench Press
Chest,Incline Dumbbell Press
Chest,Flat Dumbbell Press
Chest,Machine Chest Press
Chestfly,Standing Chest Fly
Chestfly,Incline Chest Fly
Chestfly,PecDec
Frontdelts,Front Raise
Frontdelts,Upright Row
Legscalves,Machine Calf
Legscalves,Standing Calf
Legscalves,Seated Calf
Legsglutes,Hip Thrust
Legsglutes,Kettlebell Swing
Legsglutes,Machine Hip Ab/Adduction
Legshams,Leg Curl
Legshams,Nordic Curl
Legshams,Stiff-leg Deadlift
Legsquads,Squat
Legsquads,Leg Press
Legsquads,Leg Extension
Legsquads,Dumbbell Stepup
Legsquads,Dumbbell Lunge
Reardelts,RearDelt Dumbbell
Reardelts,RearDelt Machine
Shoulders,Dumbbell OHP
Shoulders,Barbell OHP
Sidedelts,Cable Lat Raise
Sidedelts,Dumbbell Lat Raise
Triceps,Tricep Pushdown
Triceps,EZBar Skullcrusher
Triceps,Dip
Triceps,Overhead Tricep Extension
